NodeName,SecurityClass,Confidentiality,Integrity,Availability,ServicePackage
Alerting and Advisory System,Class 3,Moderate,High,Moderate,Roadside CVO Safety
Freight Equipment,Class 2,Moderate,Moderate,Moderate,HAZMAT Management
Commercial Vehicle OBE,Class 5,High,High,High,HAZMAT Management
Fleet and Freight Management Center,Class 5,High,High,High,HAZMAT Management
Emergency Management Center,Class 5,High,High,High,HAZMAT Management
Commercial Vehicle OBE,Class 1,Low,Low,Moderate,Roadside HAZMAT Security Detection and Mitigation
Commercial Vehicle Driver,,,,,Roadside HAZMAT Security Detection and Mitigation
Emergency Management Center,Class 2,Moderate,Moderate,Moderate,Roadside HAZMAT Security Detection and Mitigation
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Roadside HAZMAT Security Detection and Mitigation
Commercial Vehicle Administration Center,Class 4,High,Moderate,Moderate,Roadside HAZMAT Security Detection and Mitigation
Commercial Vehicle OBE,Class 4,High,High,Moderate,CV Driver Security Authentication
Fleet and Freight Management Center,Class 5,High,High,High,CV Driver Security Authentication
Commercial Vehicle Driver,,,,,CV Driver Security Authentication
Fleet-Freight Manager,,,,,CV Driver Security Authentication
Emergency Management Center,Class 5,High,High,High,CV Driver Security Authentication
Emergency System Operator,,,,,CV Driver Security Authentication
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,CV Driver Security Authentication
Basic Commercial Vehicle,,,,,CV Driver Security Authentication
Driver Identification Card,Class 4,High,Moderate,Moderate,CV Driver Security Authentication
Freight Equipment,Class 5,Moderate,High,High,Fleet and Freight Security
Intermodal Terminal,Class 2,Moderate,Moderate,Moderate,Fleet and Freight Security
Commercial Vehicle OBE,Class 5,High,High,High,Fleet and Freight Security
Fleet and Freight Management Center,Class 5,High,High,High,Fleet and Freight Security
Commercial Vehicle Driver,,,,,Fleet and Freight Security
Fleet-Freight Manager,,,,,Fleet and Freight Security
Intermodal Customer System,Class 3,Moderate,High,Moderate,Fleet and Freight Security
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,Fleet and Freight Security
Emergency Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Fleet and Freight Security
Emergency Management Center,Class 3,Moderate,High,Moderate,Fleet and Freight Security
Commercial Vehicle Check Equipment,Class 3,Moderate,High,Moderate,Fleet and Freight Security
Location and Time Data Source,Class 5,Moderate,High,High,Fleet and Freight Security
Driver Identification Card,Class 4,High,Moderate,Moderate,Fleet and Freight Security
Alerting and Advisory System,Class 5,Moderate,High,High,Fleet and Freight Security
Traffic Management Center,Class 5,High,High,High,Emergency Call-Taking and Dispatch
Maint and Constr Management Center,Class 5,Low,High,High,Emergency Call-Taking and Dispatch
Transportation Information Center,Class 3,Low,High,Moderate,Emergency Call-Taking and Dispatch
Transit Management Center,Class 5,Moderate,High,High,Emergency Call-Taking and Dispatch
Weather Service System,Class 1,Low,Moderate,Moderate,Emergency Call-Taking and Dispatch
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Emergency Call-Taking and Dispatch
Emergency Vehicle OBE,Class 5,Moderate,High,High,Emergency Call-Taking and Dispatch
Emergency Personnel,,,,,Emergency Call-Taking and Dispatch
Emergency Management Center,Class 5,High,High,High,Emergency Call-Taking and Dispatch
Other Emergency Management Centers,Class 4,High,High,Moderate,Emergency Call-Taking and Dispatch
Emergency System Operator,,,,,Emergency Call-Taking and Dispatch
Rail Operations Center,Class 1,Low,Moderate,Moderate,Emergency Call-Taking and Dispatch
Emergency Telecommunications System,Class 2,Moderate,Moderate,Moderate,Emergency Call-Taking and Dispatch
Location and Time Data Source,Class 5,Moderate,High,High,Emergency Call-Taking and Dispatch
Traffic Management Center,Class 4,High,Moderate,Moderate,Roadway Service Patrols
Maint and Constr Management Center,Class 4,High,High,Moderate,Roadway Service Patrols
Transportation Information Center,Class 1,Low,Low,Moderate,Roadway Service Patrols
Traffic Operations Personnel,,,,,Roadway Service Patrols
Emergency Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Roadway Service Patrols
Emergency Personnel,,,,,Roadway Service Patrols
Emergency Management Center,Class 4,High,High,Moderate,Roadway Service Patrols
Driver,,,,,Transportation Infrastructure Protection
Vehicle,Class 2,Moderate,Moderate,Moderate,Transportation Infrastructure Protection
Traffic Management Center,Class 5,High,High,High,Transportation Infrastructure Protection
Maint and Constr Management Center,Class 5,Moderate,Moderate,High,Transportation Infrastructure Protection
ITS Roadway Equipment,Class 5,High,High,High,Transportation Infrastructure Protection
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Transportation Infrastructure Protection
Transit Management Center,Class 5,Moderate,Moderate,High,Transportation Infrastructure Protection
Traffic Operations Personnel,,,,,Transportation Infrastructure Protection
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Transportation Infrastructure Protection
Emergency Personnel,,,,,Transportation Infrastructure Protection
Emergency Management Center,Class 5,High,High,High,Transportation Infrastructure Protection
Other Emergency Management Centers,Class 5,High,High,High,Transportation Infrastructure Protection
Emergency System Operator,,,,,Transportation Infrastructure Protection
Rail Operations Center,Class 5,Moderate,Moderate,High,Transportation Infrastructure Protection
Security Monitoring Equipment,Class 4,High,Moderate,Moderate,Transportation Infrastructure Protection
Alerting and Advisory System,Class 5,Moderate,High,High,Transportation Infrastructure Protection
Driver,,,,,Wide-Area Alert
Traffic Management Center,Class 5,High,High,High,Wide-Area Alert
Maint and Constr Management Center,Class 5,High,High,High,Wide-Area Alert
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Wide-Area Alert
Transportation Information Center,Class 5,High,High,High,Wide-Area Alert
Personal Information Device,Class 1,Low,Low,Moderate,Wide-Area Alert
Transit Management Center,Class 5,High,High,High,Wide-Area Alert
Transit Operations Personnel,,,,,Wide-Area Alert
Transit Vehicle OBE,Class 1,Low,Low,Moderate,Wide-Area Alert
Traffic Operations Personnel,,,,,Wide-Area Alert
TIC Operator,,,,,Wide-Area Alert
Emergency Management Center,Class 5,High,High,High,Wide-Area Alert
Other Emergency Management Centers,Class 5,High,High,High,Wide-Area Alert
Emergency System Operator,,,,,Wide-Area Alert
Traveler,,,,,Wide-Area Alert
Emergency Telecommunications System,Class 1,Low,Low,Low,Wide-Area Alert
Traveler Support Equipment,Class 1,Low,Low,Moderate,Wide-Area Alert
Other Transportation Information Centers,Class 3,Low,High,Moderate,Wide-Area Alert
Social Media,Class 1,Low,Low,Moderate,Wide-Area Alert
Traveler Information Voice System,Class 5,Low,Moderate,High,Wide-Area Alert
Alerting and Advisory System,Class 3,Moderate,High,Moderate,Wide-Area Alert
Basic Vehicle,Class 1,Not Applicable,Low,Low,Wide-Area Alert
Light Vehicle OBE,Class 1,Low,Low,Moderate,Wide-Area Alert
Light Vehicle Driver,,,,,Wide-Area Alert
Traffic Management Center,Class 5,High,High,High,Early Warning System
Maint and Constr Management Center,Class 5,High,High,High,Early Warning System
Transit Management Center,Class 5,High,High,High,Early Warning System
Transit Operations Personnel,,,,,Early Warning System
Traffic Operations Personnel,,,,,Early Warning System
Weather Service System,Class 1,Low,Moderate,Moderate,Early Warning System
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Early Warning System
Maint and Constr Center Personnel,,,,,Early Warning System
Emergency Management Center,Class 5,High,High,High,Early Warning System
Other Emergency Management Centers,Class 5,High,High,High,Early Warning System
Emergency System Operator,,,,,Early Warning System
Social Media,Class 2,Moderate,Moderate,Low,Early Warning System
Security Monitoring Equipment,Class 2,Moderate,Moderate,Moderate,Early Warning System
Alerting and Advisory System,Class 3,Moderate,High,Moderate,Early Warning System
Traffic Management Center,Class 5,High,High,High,Disaster Response and Recovery
Maint and Constr Management Center,Class 5,High,High,High,Disaster Response and Recovery
Transit Management Center,Class 5,High,High,High,Disaster Response and Recovery
Transit Operations Personnel,,,,,Disaster Response and Recovery
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Disaster Response and Recovery
Traffic Operations Personnel,,,,,Disaster Response and Recovery
Maint and Constr Center Personnel,,,,,Disaster Response and Recovery
Other Traffic Management Centers,Class 5,Moderate,High,High,Disaster Response and Recovery
Emergency Management Center,Class 5,High,High,High,Disaster Response and Recovery
Other Emergency Management Centers,Class 5,High,High,High,Disaster Response and Recovery
Emergency System Operator,,,,,Disaster Response and Recovery
Public Health System,Class 5,High,High,High,Disaster Response and Recovery
Rail Operations Center,Class 5,High,High,High,Disaster Response and Recovery
Other Maint and Constr Mgmt Centers,Class 2,Moderate,Moderate,Moderate,Disaster Response and Recovery
Asset Management System,Class 2,Moderate,Moderate,Moderate,Disaster Response and Recovery
Traffic Management Center,Class 5,High,High,High,Evacuation and Reentry Management
Maint and Constr Management Center,Class 5,High,High,High,Evacuation and Reentry Management
Transportation Information Center,Class 1,Low,Low,Moderate,Evacuation and Reentry Management
Transit Management Center,Class 5,High,High,High,Evacuation and Reentry Management
Transit Operations Personnel,,,,,Evacuation and Reentry Management
Other Transit Management Centers,Class 2,Moderate,Moderate,Moderate,Evacuation and Reentry Management
Traffic Operations Personnel,,,,,Evacuation and Reentry Management
Maint and Constr Center Personnel,,,,,Evacuation and Reentry Management
Other Traffic Management Centers,Class 5,Moderate,High,High,Evacuation and Reentry Management
Payment Administration Center,Class 5,Low,Moderate,High,Evacuation and Reentry Management
Emergency Management Center,Class 5,High,High,High,Evacuation and Reentry Management
Other Emergency Management Centers,Class 5,High,High,High,Evacuation and Reentry Management
Emergency System Operator,,,,,Evacuation and Reentry Management
Shelter Provider Center,Class 1,Low,Moderate,Moderate,Evacuation and Reentry Management
Public Health System,Class 5,High,High,High,Evacuation and Reentry Management
Rail Operations Center,Class 5,High,High,High,Evacuation and Reentry Management
Population and Housing Data System,Class 2,Moderate,Moderate,Moderate,Evacuation and Reentry Management
Special Needs Registry,Class 2,Moderate,Moderate,Moderate,Evacuation and Reentry Management
Traffic Management Center,Class 1,Low,Moderate,Moderate,Disaster Traveler Information
Transportation Information Center,Class 3,Moderate,High,Moderate,Disaster Traveler Information
Personal Information Device,Class 3,Moderate,High,Moderate,Disaster Traveler Information
Transit Management Center,Class 3,Low,High,Moderate,Disaster Traveler Information
Weather Service System,Class 1,Low,Moderate,Moderate,Disaster Traveler Information
Surface Transportation Weather Service,Class 1,Low,Moderate,Moderate,Disaster Traveler Information
TIC Operator,,,,,Disaster Traveler Information
Emergency Management Center,Class 3,Low,High,Moderate,Disaster Traveler Information
Shelter Provider Center,Class 1,Low,Moderate,Moderate,Disaster Traveler Information
Travel Services Provider System,Class 1,Low,Moderate,Moderate,Disaster Traveler Information
Traveler,,,,,Disaster Traveler Information
Care Facility,Class 1,Low,Moderate,Moderate,Disaster Traveler Information
Emergency Telecommunications System,Class 1,Low,Low,Low,Disaster Traveler Information
Traveler Support Equipment,Class 3,Moderate,High,Moderate,Disaster Traveler Information
Other Transportation Information Centers,Class 3,Low,High,Moderate,Disaster Traveler Information
Media,Class 1,Low,Low,Moderate,Disaster Traveler Information
Traveler Information Voice System,Class 1,Low,Moderate,Low,Disaster Traveler Information
Light Vehicle OBE,Class 3,Moderate,High,Moderate,Disaster Traveler Information
Light Vehicle Driver,,,,,Disaster Traveler Information
Traffic Management Center,Class 4,High,High,Moderate,ITS Data Warehouse
Maint and Constr Management Center,Class 4,High,High,Moderate,ITS Data Warehouse
ITS Roadway Equipment,Class 2,Moderate,Moderate,Low,ITS Data Warehouse
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Low,ITS Data Warehouse
Intermodal Terminal,Class 4,High,High,Moderate,ITS Data Warehouse
Transportation Information Center,Class 4,High,High,Moderate,ITS Data Warehouse
Transit Management Center,Class 4,High,High,Moderate,ITS Data Warehouse
Alternate Mode Transportation Center,Class 4,High,High,Moderate,ITS Data Warehouse
Emissions Management Center,Class 4,High,High,Moderate,ITS Data Warehouse
Weather Service System,Class 4,High,High,Moderate,ITS Data Warehouse
Surface Transportation Weather Service,Class 4,High,High,Moderate,ITS Data Warehouse
Archived Data System,Class 5,High,High,High,ITS Data Warehouse
Payment Administration Center,Class 4,High,High,Moderate,ITS Data Warehouse
Emergency Management Center,Class 4,High,High,Moderate,ITS Data Warehouse
Border Inspection Administration Center,Class 4,High,High,Moderate,ITS Data Warehouse
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,ITS Data Warehouse
Archived Data User System,Class 4,High,High,Low,ITS Data Warehouse
Other Archived Data Systems,Class 5,Moderate,High,High,ITS Data Warehouse
Archived Data Administrator,,,,,ITS Data Warehouse
Other Data Sources,Class 4,High,High,Moderate,ITS Data Warehouse
Asset Management System,Class 4,High,High,Moderate,ITS Data Warehouse
Parking Management Center,Class 4,High,High,Moderate,ITS Data Warehouse
Driver,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Vehicle,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Other Vehicles,Class 3,Low,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Traffic Management Center,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Transportation Information Center,Class 1,Low,Moderate,Moderate,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Traffic Operations Personnel,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Basic Vehicle,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Vehicle Characteristics,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Roadway Environment,Class 1,Not Applicable,Low,Low,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Potential Obstacles,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Vulnerable Road Users,,,,,Infrastructure Enhanced Cooperative Adaptive Cruise Control
Driver,,,,,Automated Vehicle Operations
Vehicle,Class 3,Moderate,High,Moderate,Automated Vehicle Operations
Other Vehicles,Class 3,Low,High,Moderate,Automated Vehicle Operations
Traffic Management Center,Class 3,Moderate,High,Moderate,Automated Vehicle Operations
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Automated Vehicle Operations
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Automated Vehicle Operations
Transportation Information Center,Class 3,Moderate,High,Moderate,Automated Vehicle Operations
Traffic Operations Personnel,,,,,Automated Vehicle Operations
Basic Vehicle,,,,,Automated Vehicle Operations
Vehicle Characteristics,,,,,Automated Vehicle Operations
Roadway Environment,Class 1,Not Applicable,Low,Low,Automated Vehicle Operations
Potential Obstacles,,,,,Automated Vehicle Operations
Vulnerable Road Users,,,,,Automated Vehicle Operations
Driver,,,,,Autonomous Vehicle Safety Systems
Vehicle,Class 1,Not Applicable,Low,Low,Autonomous Vehicle Safety Systems
Basic Vehicle,,,,,Autonomous Vehicle Safety Systems
Vehicle Characteristics,,,,,Autonomous Vehicle Safety Systems
Roadway Environment,Class 1,Not Applicable,Low,Low,Autonomous Vehicle Safety Systems
Potential Obstacles,,,,,Autonomous Vehicle Safety Systems
Vulnerable Road Users,,,,,Autonomous Vehicle Safety Systems
Personal Information Device,Class 5,High,High,High,Parking Electronic Payment
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Parking Electronic Payment
Financial Center,Class 2,Moderate,Moderate,Moderate,Parking Electronic Payment
Payment Administration Center,Class 4,High,High,Moderate,Parking Electronic Payment
Payment Device,Class 5,Moderate,Moderate,High,Parking Electronic Payment
Parking Area Equipment,Class 5,High,High,High,Parking Electronic Payment
Parking Operator,,,,,Parking Electronic Payment
Parking Management Center,Class 5,High,High,High,Parking Electronic Payment
Parking Manager,,,,,Parking Electronic Payment
Light Vehicle OBE,Class 5,High,High,High,Parking Electronic Payment
Light Vehicle Driver,,,,,Parking Electronic Payment
Freight Equipment,Class 2,Moderate,Moderate,Moderate,Smart Roadside and Virtual WIM
Commercial Vehicle OBE,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM
Fleet and Freight Management Center,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM
Commercial Vehicle Driver,,,,,Smart Roadside and Virtual WIM
Enforcement Center,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM
Commercial Vehicle Check Equipment,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM
Commercial Vehicle Administration Center,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM
Commercial Vehicle Inspector,,,,,Smart Roadside and Virtual WIM
Other CV Administration Centers,Class 4,High,High,Moderate,Smart Roadside and Virtual WIM
Basic Commercial Vehicle,,,,,Smart Roadside and Virtual WIM
Driver Identification Card,Class 4,High,Moderate,Moderate,Smart Roadside and Virtual WIM
Center,Class 5,High,High,High,Center Maintenance
Service Monitor System,Class 5,High,High,High,Center Maintenance
Center Personnel,,,,,Center Maintenance
Support Maintenance Personnel,,,,,Center Maintenance
Support Maintenance Equipment,Class 5,Moderate,High,High,Center Maintenance
Driver,,,,,Management of Electronic Traffic Regulations (METR)
Vehicle,Class 2,Moderate,Moderate,Moderate,Management of Electronic Traffic Regulations (METR)
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
Connected Vehicle Roadside Equipment,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Management of Electronic Traffic Regulations (METR)
Maint and Constr Vehicle OBE,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
Traveler,,,,,Management of Electronic Traffic Regulations (METR)
METR System,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
Other METR Distribution Centers,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
Non-METR Distribution Center,Class 2,Moderate,Moderate,Moderate,Management of Electronic Traffic Regulations (METR)
METR Distribution Center,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
METR Rule-Maker/Agent,,,,,Management of Electronic Traffic Regulations (METR)
Other METR Systems,Class 3,Moderate,High,Moderate,Management of Electronic Traffic Regulations (METR)
Driver,,,,,Loading Zone Management
Vehicle,Class 2,Moderate,Moderate,Moderate,Loading Zone Management
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,Loading Zone Management
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Loading Zone Management
Personal Information Device,Class 4,High,High,Moderate,Loading Zone Management
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,Loading Zone Management
Parking Management Center,Class 4,High,High,Moderate,Loading Zone Management
Parking Manager,,,,,Loading Zone Management
Vehicle Characteristics,,,,,Loading Zone Management
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Field Equipment Maintenance
Maint and Constr Center Personnel,,,,,Field Equipment Maintenance
Maint and Constr Field Personnel,,,,,Field Equipment Maintenance
Center,Class 3,Moderate,High,Moderate,Field Equipment Maintenance
Field Maintenance Equipment,Class 5,Moderate,High,High,Field Equipment Maintenance
Service Monitor System,Class 2,Moderate,Moderate,Moderate,Field Equipment Maintenance
Field,Class 5,Moderate,Moderate,High,Field Equipment Maintenance
Center Personnel,,,,,Field Equipment Maintenance
Field System Operator,,,,,Field Equipment Maintenance
Driver,,,,,Vehicle Maintenance
Vehicle,Class 3,Moderate,High,Moderate,Vehicle Maintenance
Enforcement Center,Class 2,Moderate,Moderate,Moderate,Vehicle Maintenance
Service Monitor System,Class 2,Moderate,Moderate,Moderate,Vehicle Maintenance
Basic Vehicle,,,,,Vehicle Maintenance
Vehicle Service Center,Class 3,Moderate,High,Moderate,Vehicle Maintenance
Maint and Constr Field Personnel,,,,,Personnel Device Maintenance
Center,Class 4,High,High,Moderate,Personnel Device Maintenance
Service Monitor System,Class 2,Moderate,Moderate,Moderate,Personnel Device Maintenance
Center Personnel,,,,,Personnel Device Maintenance
Personnel Device,Class 4,High,High,Moderate,Personnel Device Maintenance
Cooperative ITS Credentials Management System,Class 5,High,High,High,Device Certification and Enrollment
Credentials Management System Operator,,,,,Device Certification and Enrollment
Other Credentials Management Systems,Class 5,High,High,High,Device Certification and Enrollment
ITS Object,Class 5,High,High,High,Device Certification and Enrollment
Certification System,Class 5,High,High,High,Device Certification and Enrollment
Certification System Operator,,,,,Device Certification and Enrollment
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Parking Reservations
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Parking Reservations
Traveler Support Equipment,Class 2,Moderate,Moderate,Moderate,Parking Reservations
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Parking Reservations
Parking Manager,,,,,Parking Reservations
Light Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Parking Reservations
Personal Information Device,Class 4,High,High,Moderate,Stolen Vehicle Recovery
Emergency Vehicle OBE,Class 3,Moderate,High,Moderate,Stolen Vehicle Recovery
DMV,Class 4,High,High,Moderate,Stolen Vehicle Recovery
Emergency Management Center,Class 4,High,High,Moderate,Stolen Vehicle Recovery
Other Emergency Management Centers,Class 2,Moderate,Moderate,Moderate,Stolen Vehicle Recovery
Emergency System Operator,,,,,Stolen Vehicle Recovery
Traveler,,,,,Stolen Vehicle Recovery
Basic Vehicle,,,,,Stolen Vehicle Recovery
Light Vehicle OBE,Class 4,High,High,Moderate,Stolen Vehicle Recovery
Driver,,,,,Tunnel Management
Vehicle,Class 3,Low,High,Moderate,Tunnel Management
Traffic Management Center,Class 5,High,High,High,Tunnel Management
Maint and Constr Management Center,,,,,Tunnel Management
ITS Roadway Equipment,Class 5,High,High,High,Tunnel Management
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Tunnel Management
Traffic Operations Personnel,,,,,Tunnel Management
Other Traffic Management Centers,Class 1,Low,Moderate,Moderate,Tunnel Management
Other ITS Roadway Equipment,Class 4,High,High,Moderate,Tunnel Management
Vehicle Characteristics,,,,,Tunnel Management
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Commercial Vehicle Parking
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Commercial Vehicle Parking
Commercial Vehicle OBE,Class 4,High,High,Moderate,Commercial Vehicle Parking
Fleet and Freight Management Center,Class 4,High,High,Moderate,Commercial Vehicle Parking
Transportation Information Center,Class 2,Moderate,Moderate,Moderate,Commercial Vehicle Parking
Commercial Vehicle Driver,,,,,Commercial Vehicle Parking
Fleet-Freight Manager,,,,,Commercial Vehicle Parking
Personal Information Device,Class 2,Moderate,Moderate,Moderate,Commercial Vehicle Parking
Parking Area Equipment,Class 2,Moderate,Moderate,Moderate,Commercial Vehicle Parking
Parking Operator,,,,,Commercial Vehicle Parking
Parking Management Center,Class 2,Moderate,Moderate,Moderate,Commercial Vehicle Parking
Parking Manager,,,,,Commercial Vehicle Parking
Driver,,,,,Wrong Way Vehicle Detection and Warning
Vehicle,Class 3,Not Applicable,High,Moderate,Wrong Way Vehicle Detection and Warning
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Wrong Way Vehicle Detection and Warning
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Wrong Way Vehicle Detection and Warning
Connected Vehicle Roadside Equipment,Class 1,Not Applicable,Moderate,Moderate,Wrong Way Vehicle Detection and Warning
Traffic Operations Personnel,,,,,Wrong Way Vehicle Detection and Warning
Emergency Management Center,Class 1,Low,Low,Moderate,Wrong Way Vehicle Detection and Warning
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Wrong Way Vehicle Detection and Warning
Vehicle Characteristics,,,,,Wrong Way Vehicle Detection and Warning
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Signal Enforcement
ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Signal Enforcement
Traffic Operations Personnel,,,,,Signal Enforcement
Enforcement Center,Class 2,Moderate,Moderate,Low,Signal Enforcement
Other ITS Roadway Equipment,Class 2,Moderate,Moderate,Moderate,Signal Enforcement
Traffic Management Center,Class 2,Moderate,Moderate,Moderate,Roadway Micro-Prediction
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Roadway Micro-Prediction
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Roadway Micro-Prediction
Traffic Operations Personnel,,,,,Roadway Micro-Prediction
Surface Transportation Weather Service,Class 2,Moderate,Moderate,Moderate,Roadway Micro-Prediction
Maint and Constr Center Personnel,,,,,Roadway Micro-Prediction
Roadway Environment,Class 1,Not Applicable,Low,Low,Roadway Micro-Prediction
Fleet and Freight Management Center,Class 2,Moderate,Moderate,Moderate,International Border Registration
Intermodal Customer System,Class 2,Moderate,Moderate,Moderate,International Border Registration
Freight Distribution and Logistics Center,Class 2,Moderate,Moderate,Moderate,International Border Registration
Personal Information Device,Class 2,Moderate,Moderate,Moderate,International Border Registration
Border Inspection Administration Center,Class 2,Moderate,Moderate,Moderate,International Border Registration
Commercial Vehicle Administration Center,Class 2,Moderate,Moderate,Moderate,International Border Registration
Other Border Inspection Administration Centers,Class 2,Moderate,Moderate,Moderate,International Border Registration
Border Inspection Administration Center,Class 4,High,High,Moderate,International Border Coordination
Border Inspection System,Class 4,High,High,Moderate,International Border Coordination
Other Border Inspection Administration Centers,Class 2,Moderate,Moderate,Moderate,International Border Coordination
Other Border Inspection Systems,Class 3,Moderate,High,Moderate,International Border Coordination
Vehicle,Class 1,Low,Low,Moderate,Asset Tracking
Maint and Constr Management Center,Class 3,Moderate,High,Moderate,Asset Tracking
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Asset Tracking
Transportation Information Center,Class 1,Low,Moderate,Moderate,Asset Tracking
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Asset Tracking
Maint and Constr Center Personnel,,,,,Asset Tracking
Maint and Constr Field Personnel,,,,,Asset Tracking
Asset Management System,Class 2,Moderate,Moderate,Moderate,Asset Tracking
Field,Class 1,Low,Moderate,Moderate,Asset Tracking
Maint and Constr Vehicle Operator,,,,,Asset Tracking
Personnel Device,Class 2,Moderate,Moderate,Moderate,Asset Tracking
Traffic Management Center,Class 3,Moderate,High,Moderate,Maintenance and Construction Signal Priority
Maint and Constr Management Center,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Signal Priority
ITS Roadway Equipment,Class 3,Moderate,High,Moderate,Maintenance and Construction Signal Priority
Connected Vehicle Roadside Equipment,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Signal Priority
Transportation Information Center,Class 1,Not Applicable,Low,Moderate,Maintenance and Construction Signal Priority
Maint and Constr Vehicle OBE,Class 2,Moderate,Moderate,Moderate,Maintenance and Construction Signal Priority
Maint and Constr Center Personnel,,,,,Maintenance and Construction Signal Priority
Maint and Constr Vehicle Operator,,,,,Maintenance and Construction Signal Priority
Center,Class 2,Moderate,Moderate,Moderate,Remote Access
Center Personnel,,,,,Remote Access
Remote Access Device,Class 2,Moderate,Moderate,Moderate,Remote Access
Traffic Management Center,Class 4,High,High,Moderate,Traffic Data Mart
ITS Roadway Equipment,Class 2,Moderate,Moderate,Low,Traffic Data Mart
Connected Vehicle Roadside Equipment,Class 1,Low,Moderate,Low,Traffic Data Mart
Transportation Information Center,Class 4,High,High,Moderate,Traffic Data Mart
Archived Data System,Class 5,High,High,High,Traffic Data Mart
Archived Data User System,Class 4,High,High,Low,Traffic Data Mart
Other Archived Data Systems,Class 5,Moderate,High,High,Traffic Data Mart
Archived Data Administrator,,,,,Traffic Data Mart
Transit Management Center,Class 4,High,High,Moderate,Public Transportation Data Mart
